Отчет по материалам [по назначению],,,,,,,,,
"Материал.ГОСТ Содержит ""гост""
Отбор: Параметры: ШиринаКолонкиИзображения=0; ПериодЦены=01.01.0001 0:00:00; ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Отбор:,"Материал.ГОСТ Содержит ""гост""",,,,,,,,
,,,,,,,,,
Родитель,,,,,,,,,Итого
№ в группе,Материал,,,Наименование мир,,ГОСТ,Материал.Цена,Материал.Цена.Вид заготовки,Количество
 1. Углеродистая (нелегир),,,,,,,,,115
130,40ХГМА,,,40CrMo,,ГОСТ 4543-2016,9.00,Поковка,1
131,40ХГНМ,,,40CrNiMoA,,ГОСТ 4543-2016,9.00,Поковка,1
132,40ХГТР,,,,,ГОСТ 4543-2016,,,1
133,40ХМФ,,,40CrMoV4‑7,,ГОСТ 4543-2016,,,1
134,40ХМФА,,,40CrMoV4‑6,,ГОСТ 4543-2016,11.00,Поковка,1
135,40ХН,,,40CrNi,,ГОСТ 4543-2016,10.00,Поковка,1
136,40ХН2МА,,,40CrNi2Mo,,ГОСТ 4543-2016,7.60,Прокат,1
137,40ХН2МА,,,40CrNi2Mo,,ГОСТ 4543-2016,9.20,Труба,1
138,40ХН2МА,,,40CrNi2Mo,,ГОСТ 4543-2016,13.50,Поковка,1
139,40ХНМА,,,40CrNiMoA,,ГОСТ 4543-2016,13.60,Поковка,1
140,40ХС,,,40Cr,,ГОСТ 4543-2016,,,1
141,40ХФА,,,40CrV,,ГОСТ 4543-2016,13.60,Поковка,1
142,40ХФР,,,40CrV,,ГОСТ 4543-2016,,,1
