"Номенклатура","Чертеж","Заказчик, сокр","Количество","ГП вес, кг","Материал","Цена подачи","Цена подачи за кг","Мин цена подачи за кг","Менеджер","Тендер Дата выхода тендера, Статус","Итоговый вес","Минимальная цена закупа за кг."
"Вал промежуточный ч.1-140378 СБ","1-140378 СБ","ИСО ООО","1.000","15,481","СБ","2,000,000.00","129.19","29.07","Левичев Никита Сергеевич","16.09.2024, Выиграли частично","15,481","16,60"
"Вал передаточный ч.20.021.176 СБ","20.021.176 СБ","Евраз НТМК","1.000","15,767","СБ","465,073.48","29.50","29.50","Диденко Виталий Тимофеевич","21.12.2023, Выиграли","15,767","18,39"
"Вал передаточный ч.20.021.174 СБ","20.021.174 СБ","Евраз НТМК","1.000","15,797","СБ","465,216.78","29.45","29.45","Диденко Виталий Тимофеевич","21.12.2023, Выиграли","15,797","18,36"
"Вал шестерня с маховиками ч.4121.65.19 СБ","4121.65.19 СБ","Ашинский метзавод","1.000","16,551","СБ","1,102,500.00","66.61","56.14","Давлетмурзаев Амирсултан Адильсултанович","16.10.2024, Отменен","16,551","31,72"
"Вал шестерня с маховиками ч.4121.65.33 СБ","4121.65.33 СБ","Ашинский метзавод","1.000","16,691","СБ","1,108,800.00","66.43","55.99","Давлетмурзаев Амирсултан Адильсултанович","16.10.2024, Отменен","16,691","31,63"
"Вал IV (сборка) ч.П2.173А СБ","П2.173А СБ","ИСО ООО","4.000","17,660","СБ","720,000.00","40.77","28.31","Левичев Никита Сергеевич","10.09.2025, Подались","70,640","18,00"
"Вал приводной ч.8-60828 СБ","8-60828 СБ","РАЗВИТИЕ АО","5.000","18,328","СБ","210,000.00","11.46","11.46","Ряхимов Али Рафикович","02.07.2024, Отменен","91,640",""
"Вал II ч.4002.19.100 СБ","4002.19.100 СБ","ИСО ООО","2.000","19,500","СБ","666,000.00","34.15","34.15","Левичев Никита Сергеевич","27.02.2024, Проиграли","39,000","18,46"
"Вал коренной ч.2-63190","2-63190","ЕВРАЗ ЗСМК","1.000","20,800","40ХН","790,400.00","38.00","38.00","Григорян Саркис Владимирович","09.09.2024, Проиграли","20,800","20,00"
"Вал в сборе ч.8198.03.00.300 СБ III","8198.03.00.300 СБ","Пикалевский глиноземный завод","1.000","26,900","СБ","1,800,000.00","66.91","44.61","Зырянов Олег Юрьевич","26.01.2024, Проиграли","26,900","26,99"
"Вал с колесом ч.4002.19.300 СБ","4002.19.300 СБ","ИСО ООО","1.000","34,990","СБ","2,800,000.00","80.02","80.02","Левичев Никита Сергеевич","10.10.2024, Отменен","34,990","30,00"
"Вал ч.3457.03.000.8.0 СБ","3457.03.000.8.0 СБ","ЕВРАЗ ЗСМК","1.000","42,700","СБ","2,433,900.00","57.00","57.00","Григорян Саркис Владимирович","01.10.2024, Проиграли","42,700","30,00"
"Вал ч.3457.03.000.8.0 СБ","3457.03.000.8.0 СБ","ЕВРАЗ ЗСМК","1.000","42,700","СБ","1,216,950.00","28.50","28.50","Григорян Саркис Владимирович","17.12.2024, Проиграли","42,700","15,00"
"Вал с колесом ч.4223.38.910.00 СБ","4223.38.910.00 СБ","ИСО ООО","1.000","44,960","СБ","1,700,000.00","37.81","26.69","Левичев Никита Сергеевич","10.09.2025, Подались","44,960","16,00"
"Вал с колесом ч.4223.38.910.00 СБ","4223.38.910.00 СБ","ИСО ООО","3.000","44,960","СБ","1,350,000.00","30.03","26.02","Левичев Никита Сергеевич","24.04.2024, Проиграли","134,880","12,90"
"Вал плавающий (нижний) ч.В.57389/1","В.57389/1","СЛПК","1.000","57,000","Чугун","2,648,142.02","46.46","46.46","Максутов Бектурсун Абдилнабиевич","28.05.2025, Проиграли","57,000","24,80"
"Вал-шестерня","","","","","","","","","","","82,657.96","18,60"
"Вал-шестерня ч.8900.92.23.004","8900.92.23.004","Северсталь","1.000","41","40CrNi","3,500.00","85.37","85.37","Хусаева Патимат Халидовна","02.09.2025, Проиграли","41","30,00"
"Вал-шестерня ч.4504010-0674.00.01","4504010-0674.00.01","ВМЗ","1.000","44.96","40ХН","6,500.00","144.57","144.57","Солнышкин Дмитрий Сергеевич","08.09.2025, Подались","44.96","68,69"
"Вал-шестерня ч.0608010016","0608010016","ПЕТРО ВЕЛТ ТЕХНОЛОДЖИС","2.000","45","СБ","42,000.00","933.33","284.44","Солнышкин Дмитрий Сергеевич","31.10.2025, Подались","90","177,78"
"Вал-шестерня ч.31-5939","31-5939","Магнитогорский цементно-огнеупорный завод","1.000","57","40Х","6,669.00","117.00","112.50","Лебедев Станислав Артурович","23.09.2025, Подались","57","45,00"
"Вал-шестерня ч.4109.99.02","4109.99.02","ЛГОК","1.000","82","38ХГН","5,038.08","61.44","61.44","Баяндин Олег Николаевич","18.09.2025, Проиграли","82","32,00"
"Вал-шестерня ч.31-5940","31-5940","Магнитогорский цементно-огнеупорный завод","1.000","96","40Х","11,232.00","117.00","112.50","Лебедев Станислав Артурович","23.09.2025, Подались","96","45,00"
"Вал-шестерня ч.4.083993.C","4.083993.C","Промсорт-Урал","1.000","109","17NiCrMo6-4","7,466.73","68.50","66.49","Диденко Виталий Тимофеевич","24.10.2025, Подались","109","25,00"
"Вал-шестерня ч.КП 057-400-001","КП 057-400-001","КАЛИНИНГРАДСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ","1.000","114","40Х","8,209.28","72.01","72.01","Максутов Бектурсун Абдилнабиевич","15.10.2025, Мониторинг цен","114","41,26"
"Вал-шестерня ч.1G-169-7-7/R","1G-169-7-7/R","МРК","10.000","115","40NiCrMo4","4,384.95","38.13","38.13","Лебедев Станислав Артурович","21.10.2025, Подались","1,150","18,60"
"Вал-шестерня ч.Т-327-53","Т-327-53","СГК-Новосибирск","1.000","154","40Х","9,500.00","61.69","61.69","Власов Михаил Дмитриевич","21.10.2025, Подались","154","30,00"
"Вал-шестерня ч.КП 175-400-001","КП 175-400-001","КАЛИНИНГРАДСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ","1.000","157","40Х","11,960.78","76.18","76.18","Максутов Бектурсун Абдилнабиевич","15.10.2025, Мониторинг цен","157","41,80"
"Вал-шестерня ч.03428","03428","ЕВРАЗ ЗСМК","1.000","240","50","18,060.00","75.25","75.25","Диденко Виталий Тимофеевич","24.09.2025, Подались","240","35,00"
"Вал-шестерня ч.СК 417.00.000","СК 417.00.000","ИСО ООО","1.000","297","45","19,008.00","64.00","64.00","Левичев Никита Сергеевич","23.10.2024, Проиграли","297","32,00"
"Вал-шестерня m=12; z=17 ч.6214.00.004","6214.00.004","Северсталь","1.000","300","20Х2Н4А","23,214.36","77.38","77.38","Максутов Бектурсун Абдилнабиевич","17.09.2025, Проиграли","300","43,57"
"Вал-шестерня m=16; z=18 ч.6214.00.006","6214.00.006","Северсталь","1.000","410","20Х2Н4А","27,694.09","67.55","67.55","Максутов Бектурсун Абдилнабиевич","17.09.2025, Проиграли","410","37,46"
"Вал-шестерня ч.2-63742","2-63742","Северсталь","1.000","413","34ХН3М","29,616.67","71.71","71.71","Максутов Бектурсун Абдилнабиевич","24.09.2025, Проиграли","413","39,30"
"Вал-шестерня ч.2-62564","2-62564","Северсталь","1.000","486","34ХН3М","34,168.47","70.31","70.31","Максутов Бектурсун Абдилнабиевич","24.09.2025, Проиграли","486","38,40"
"Вал-шестерня ч.1374.08.202 СБ","1374.08.202 СБ","Уралэлектромедь","4.000","640","СБ","30,000.00","46.88","46.88","Зырянов Олег Юрьевич","15.01.2024, Проиграли","2,560","20,31"
"Вал-шестерня m=24; z=17 ч.6214.00.008","6214.00.008","Северсталь","1.000","810","20Х2Н4А","52,156.56","64.39","64.39","Максутов Бектурсун Абдилнабиевич","17.09.2025, Проиграли","810","35,50"
"Вал-шестерня ч.32.11.52533","32.11.52533","ПМХ","1.000","900","40NiCrMo4","46,800.00","52.00","52.00","Диденко Виталий Тимофеевич","29.10.2025, Подались","900","26,00"
"Вал-шестерня ч.ДОФПО.19822","ДОФПО.19822","ПМХ","11.000","930","34ХН1М","45,000.00","48.39","48.39","Лебедев Николай Леонидович","03.05.2024, Проиграли","10,230","30,11"
"Вал-шестерня ч.5.57-0-01 СБ","5.57-0-01 СБ","ЛГОК","1.000","1,006","СБ","88,000.00","87.48","87.48","Баяндин Олег Николаевич","26.09.2025, Подались","1,006","47,03"
"Вал-шестерня ч.K5716F.4.1-3","K5716F.4.1-3","Атлас Майнинг","1.000","1,030","","61,000.00","59.22","59.22","Коновалов Данила Евгеньевич","07.11.2025, Подались","1,030","30,00"
"Вал-шестерня мельницы СЕМТЕС Ø2,8","Эскиз","Элгад-Зси","1.000","1,250","34ХН1М","80,000.00","64.00","64.00","Зырянов Олег Юрьевич","16.10.2025, Подались","1,250","30,00"
"Вал-шестерня ч.13-5791","13-5791","ММК","2.000","1,280","40Х","112,700.00","88.05","58.58","Лебедев Станислав Артурович","22.09.2025, Проиграли","2,560","35,94"
"Вал-шестерня ч.2-212567","2-212567","СУЭК АО","5.000","1,550","34CrNi3Mo","256,000.00","165.16","56.13","Аскеров Аскер Алиевич","11.08.2025, Проиграли","7,750","29,03"
"Вал-шестерня ч.32.11.52263.02-1","32.11.52263.02-1","Тяжмаш","1.000","2,231","34CrNi3Mo","160,000.00","71.72","71.72","Лебедев Николай Леонидович","07.10.2025, Подались","2,231","42,58"
"Вал-шестерня ч.М8384-5","М8384-5","Атлас Майнинг","1.000","2,920","17CrNiMo6","170,000.00","58.22","58.22","Коновалов Данила Евгеньевич","07.11.2025, Подались","2,920","30,00"
"Вал-шестерня ч.1055.82.103.0.0.","1055.82.103.0.0.","23 Элемент","1.000","4,100","34CrNiMo6","223,140.51","54.42","54.42","Лебедев Николай Леонидович","18.10.2025, Подались","4,100","26,00"
"Вал-шестерня (тихоходный) ч.574299","574299","ИК АРЛАН","2.000","4,447","40Х","235,000.00","52.84","52.84","Власов Михаил Дмитриевич","17.10.2025, Подались","8,894","30,00"
"Вал-шестерня подвенцовая ч.Ф-0316-90 СБ","Ф-0316-90 СБ","ЕВРАЗ Ванадий Тула","1.000","4,490","СБ","270,000.00","60.13","60.13","Лебедев Николай Леонидович","23.10.2025, Подались","4,490","35,00"
"Вал-шестерня подвенцовая ч.Ф-0316-90 СБ","Ф-0316-90 СБ","ЕВРАЗ Ванадий Тула","1.000","4,490","СБ","270,000.00","60.13","60.13","Лебедев Николай Леонидович","23.10.2025, Подались","4,490","35,00"
"Вал-шестерня Ø719 L=3810; 02-088875 ч.15862.00.00","15862.00.00","Гайский Гок","1.000","5,311","34ХН3М","235,000.00","44.25","44.25","Зырянов Олег Юрьевич","04.03.2024, Проиграли","5,311","27,30"
"Вал-шестерня Ø742 L=3810; 02-088875 ч.16209.00.00","16209.00.00","Гайский Гок","1.000","5,315","34ХН3М","300,000.00","56.44","56.44","Зырянов Олег Юрьевич","30.10.2025, Подались","5,315","29,73"
"Вал-шестерня ч.XCZX25217100000000","XCZX25217100000000","Атлас Майнинг","2.000","6,285","СБ","470,000.00","74.78","74.78","Коновалов Данила Евгеньевич","07.11.2025, Подались","12,570","40,00"
"Вала","","","","","","","","","","","26,700","22,00"
"Вала III (сборка) ч.П2.182 СБ","П2.182 СБ","ИСО ООО","4.000","6,675","СБ","320,000.00","47.94","33.71","Левичев Никита Сергеевич","10.09.2025, Подались","26,700","22,00"
